PDB Pengeluaran (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2026,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1838230.0800000001,-,-,-,-
"a. Makanan dan Minuman, Selain Restoran",662232.8,-,-,-,-
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",67732.33,-,-,-,-
c. Perumahan dan Perlengkapan Rumahtangga,251387.26,-,-,-,-
d. Kesehatan dan Pendidikan,129001.83,-,-,-,-
e. Transportasi dan Komunikasi,468712,-,-,-,-
f. Restoran dan Hotel,177533.2,-,-,-,-
g. Lainnya,81630.66,-,-,-,-
2. Pengeluaran Konsumsi LNPRT,48130.97,-,-,-,-
3. Pengeluaran Konsumsi Pemerintah,229222.82,-,-,-,-
a. Konsumsi Kolektif,128487.87,-,-,-,-
b. Konsumsi Individu,100734.95,-,-,-,-
4. Pembentukan Modal Tetap Domestik Bruto,1037666.92,-,-,-,-
a. Bangunan,760455.33,-,-,-,-
b. Mesin dan Perlengkapan,138668.16,-,-,-,-
c. Kendaraan,62675.35,-,-,-,-
d. Peralatan Lainnya,12304.41,-,-,-,-
e. CBR,41315.8,-,-,-,-
f. Produk Kekayaan Intelektual,22247.87,-,-,-,-
5. Perubahan Inventori,103957.64,-,-,-,-
6. Ekspor Barang dan Jasa,782901.6,-,-,-,-
a. Barang,713046.3,-,-,-,-
a.1. Barang Non-migas,662688.47,-,-,-,-
a.b. Barang migas,50357.82,-,-,-,-
b. Jasa,69855.31,-,-,-,-
7. Dikurangi Impor Barang dan Jasa,665925.47,-,-,-,-
a. Barang,579257.55,-,-,-,-
a.1. Barang Non-migas,496447.37,-,-,-,-
a.b. Barang migas,82810.18,-,-,-,-
b. Jasa,86667.92,-,-,-,-
Diskrepansi Statistik,73498.24,-,-,-,-
8. PRODUK DOMESTIK BRUTO,3447682.7999999998,-,-,-,-
