38 Provinsi,,,,,,,,
,Angkatan Kerja (AK) menurut Provinsi (Orang),,,,,,,
,2025,,,,,,,
,Bekerja - Februari ,Bekerja - Agustus,Jumlah Pengangguran - Februari ,Jumlah Pengangguran - Agustus,Jumlah AK - Februari ,Jumlah AK - Agustus,% Bekerja / AK - Februari ,% Bekerja / AK - Agustus
ACEH,2555818,2561329,148803,153189,2704621,2714518,94.5,94.36
SUMATERA UTARA,7699108,7976273,409230,448252,8108338,8424525,94.95,94.68
SUMATERA BARAT,2978187,3018582,179725,179634,3157912,3198216,94.31,94.38
RIAU,3091840,3210929,132969,139208,3224809,3350137,95.88,95.84
JAMBI,1799860,1851864,84475,82347,1884335,1934211,95.52,95.74
SUMATERA SELATAN,4492327,4492574,181732,172361,4674059,4664935,96.11,96.31
BENGKULU,1105046,1115334,36992,39364,1142038,1154698,96.76,96.59
LAMPUNG,4879061,4853377,206804,213173,5085865,5066550,95.93,95.79
KEP. BANGKA BELITUNG,762982,785723,33224,36588,796206,822311,95.83,95.55
KEP. RIAU,1016540,1051975,75214,72559,1091754,1124534,93.11,93.55
DKI JAKARTA,5137602,5128464,338394,330335,5475996,5458799,93.82,93.95
JAWA BARAT,24994586,24506852,1807211,1779622,26801797,26286474,93.26,93.23
JAWA TENGAH,20923962,21295797,947248,1040401,21871210,22336198,95.67,95.34
DI YOGYAKARTA,2168563,2200071,71192,78743,2239755,2278814,96.82,96.54
JAWA TIMUR,23864700,23801034,894495,960700,24759195,24761734,96.39,96.12
BANTEN,5801246,5755926,412713,412356,6213959,6168282,93.36,93.31
BALI,2694024,2701726,43131,40994,2737155,2742720,98.42,98.51
NUSA TENGGARA BARAT,3088113,3106729,102629,97932,3190742,3204661,96.78,96.94
NUSA TENGGARA TIMUR,2976360,2989090,99272,102428,3075632,3091518,96.77,96.69
KALIMANTAN BARAT,2791377,2930432,123374,148253,2914751,3078685,95.77,95.18
KALIMANTAN TENGAH,1446139,1417683,52049,58612,1498188,1476295,96.53,96.03
KALIMANTAN SELATAN,2154947,2153139,88499,93409,2243446,2246548,96.06,95.84
KALIMANTAN TIMUR,2009990,1969739,113166,107674,2123156,2077413,94.67,94.82
KALIMANTAN UTARA,375513,380572,15232,15231,390745,395803,96.1,96.15
SULAWESI UTARA,1294920,1339333,83130,85368,1378050,1424701,93.97,94.01
SULAWESI TENGAH,1595512,1652846,49605,49705,1645117,1702551,96.98,97.08
SULAWESI SELATAN,4577588,4759077,238797,208950,4816385,4968027,95.04,95.79
SULAWESI TENGGARA,1383095,1434033,46716,49164,1429811,1483197,96.73,96.69
GORONTALO,615170,633263,19817,22418,634987,655681,96.88,96.58
SULAWESI BARAT,764613,800433,25021,23603,789634,824036,96.83,97.14
MALUKU,931667,922486,58967,61755,990634,984241,94.05,93.73
MALUKU UTARA,663611,673456,29532,32122,693143,705578,95.74,95.45
PAPUA BARAT,295161,288323,12965,13755,308126,302078,95.79,95.45
PAPUA BARAT DAYA,300928,301862,21289,22209,322217,324071,93.39,93.15
PAPUA,475118,434016,35316,32475,510434,466491,93.08,93.04
PAPUA SELATAN,216820,217682,11176,9160,227996,226842,95.1,95.96
PAPUA TENGAH,840817,790239,30963,29721,871780,819960,96.45,96.38
PAPUA PEGUNUNGAN,1008269,1040001,17240,17737,1025509,1057738,98.32,98.32
INDONESIA,145771180,146542264,7278307,7461507,153049487,154003771,95.24,95.15
