38 Provinsi,,
,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi (Persen),
,2025,
,Februari ,Agustus
ACEH,65.63,65.32
SUMATERA UTARA,70.13,72.29
SUMATERA BARAT,70.95,71.34
RIAU,64.68,66.55
JAMBI,67.11,68.37
SUMATERA SELATAN,70.56,69.88
BENGKULU,71.5,71.78
LAMPUNG,71.16,70.44
KEP. BANGKA BELITUNG,67.67,69.38
KEP. RIAU,66.84,68.23
DKI JAKARTA,65.4,64.75
JAWA BARAT,68.91,66.99
JAWA TENGAH,73.17,74.36
DI YOGYAKARTA,73.73,74.74
JAWA TIMUR,74.25,73.98
BANTEN,65.82,64.66
BALI,77.4,77.31
NUSA TENGGARA BARAT,76.5,76.11
NUSA TENGGARA TIMUR,75.81,75.55
KALIMANTAN BARAT,67.64,70.9
KALIMANTAN TENGAH,69.9,68.4
KALIMANTAN SELATAN,70.41,69.93
KALIMANTAN TIMUR,66.4,66.58
KALIMANTAN UTARA,69.19,69.55
SULAWESI UTARA,65.3,67.21
SULAWESI TENGAH,70.51,72.4
SULAWESI SELATAN,65.99,67.65
SULAWESI TENGGARA,69.77,71.67
GORONTALO,67.52,69.29
SULAWESI BARAT,71.81,74.25
MALUKU,67.56,66.66
MALUKU UTARA,68.99,69.57
PAPUA BARAT,71.45,69.55
PAPUA BARAT DAYA,68.14,68.1
PAPUA,70.38,63.98
PAPUA SELATAN,68.15,67.37
PAPUA TENGAH,78.97,73.89
PAPUA PEGUNUNGAN,88.27,90.66
INDONESIA,70.6,70.59
