38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,1515377,1469012,2263684,1618520,-,-,-,-,-,-,-,-,-
SUMATERA UTARA,5203604,4427868,6429013,4706748,-,-,-,-,-,-,-,-,-
SUMATERA BARAT,1690551,1687690,2796192,1886972,-,-,-,-,-,-,-,-,-
RIAU,2060155,1889747,2555647,1953412,-,-,-,-,-,-,-,-,-
JAMBI,923147,818339,1174217,854852,-,-,-,-,-,-,-,-,-
SUMATERA SELATAN,2093121,1860610,2779335,2003241,-,-,-,-,-,-,-,-,-
BENGKULU,624011,509672,809588,550559,-,-,-,-,-,-,-,-,-
LAMPUNG,2276319,1937069,2910547,1849845,-,-,-,-,-,-,-,-,-
KEP. BANGKA BELITUNG,386526,360809,467604,371039,-,-,-,-,-,-,-,-,-
KEP. RIAU,379169,342470,470304,359858,-,-,-,-,-,-,-,-,-
DKI JAKARTA,8710629,8122096,8620025,8415432,-,-,-,-,-,-,-,-,-
JAWA BARAT,18382219,15670287,22482742,17397606,-,-,-,-,-,-,-,-,-
JAWA TENGAH,11953858,11306263,20007121,13222400,-,-,-,-,-,-,-,-,-
DI YOGYAKARTA,3530043,3087623,3763897,3592783,-,-,-,-,-,-,-,-,-
JAWA TIMUR,17579051,16128443,20776964,15401119,-,-,-,-,-,-,-,-,-
BANTEN,5164560,4943547,6565677,5441191,-,-,-,-,-,-,-,-,-
BALI,2170938,1992887,2295374,2248855,-,-,-,-,-,-,-,-,-
NUSA TENGGARA BARAT,1194306,1034930,1393460,1205922,-,-,-,-,-,-,-,-,-
NUSA TENGGARA TIMUR,920409,758334,867965,807516,-,-,-,-,-,-,-,-,-
KALIMANTAN BARAT,1245754,1137134,1568597,1178429,-,-,-,-,-,-,-,-,-
KALIMANTAN TENGAH,999644,867864,1213887,930238,-,-,-,-,-,-,-,-,-
KALIMANTAN SELATAN,1633168,1386419,1888664,1471987,-,-,-,-,-,-,-,-,-
KALIMANTAN TIMUR,1375871,1129165,1594585,1179463,-,-,-,-,-,-,-,-,-
KALIMANTAN UTARA,152246,125693,163095,137309,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,1232868,1052830,1295077,1213247,-,-,-,-,-,-,-,-,-
SULAWESI TENGAH,1042351,880248,1167765,957947,-,-,-,-,-,-,-,-,-
SULAWESI SELATAN,4096980,3311374,4346194,3566908,-,-,-,-,-,-,-,-,-
SULAWESI TENGGARA,1182081,1012170,1248345,1004213,-,-,-,-,-,-,-,-,-
GORONTALO,473246,415630,572637,454687,-,-,-,-,-,-,-,-,-
SULAWESI BARAT,411096,330162,439708,359215,-,-,-,-,-,-,-,-,-
MALUKU,343252,289124,383545,309614,-,-,-,-,-,-,-,-,-
MALUKU UTARA,343728,270587,366211,311277,-,-,-,-,-,-,-,-,-
PAPUA BARAT,82101,70375,81180,69166,-,-,-,-,-,-,-,-,-
PAPUA BARAT DAYA,168869,132948,152885,139389,-,-,-,-,-,-,-,-,-
PAPUA,285708,228431,260842,228929,-,-,-,-,-,-,-,-,-
PAPUA SELATAN,31387,24613,31535,26834,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,96813,65216,71228,64350,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,83132,57579,64510,55216,-,-,-,-,-,-,-,-,-
INDONESIA,102038288,91135258,126339846,97546288,-,-,-,-,-,-,-,-,-
