periode,tahun,kuartal,total_gross_debt,domestic_creditors,external_creditors,domestic_currency,foreign_currency,satuan,data_source
2019Q1,2019,Q1,9635876.18,6252598.35,3383277.83,6501444.24,3134431.93,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2019Q2,2019,Q2,9755298.88,6318346.62,3436952.25,6566045.38,3189253.49,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2019Q3,2019,Q3,9905958.94,6410429.89,3495529.05,6732997.18,3172961.76,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2019Q4,2019,Q4,10113407.68,6572478.94,3540928.74,6924907.87,3188499.81,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2020Q1,2020,Q1,10708289.77,6818069.52,3890220.25,6982033.16,3726256.61,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2020Q2,2020,Q2,11002117.41,7328399.15,3673718.26,7474547.12,3527570.29,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2020Q3,2020,Q3,11763127.5,7920757.98,3842369.52,8106740.92,3656386.58,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2020Q4,2020,Q4,12215208.34,8454362.95,3760845.39,8729645.7,3485562.64,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2021Q1,2021,Q1,12468926.66,8600082.86,3868843.8,8751504.33,3717422.33,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2021Q2,2021,Q2,12826880.53,8926030.84,3900849.7,9075083.77,3751796.77,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2021Q3,2021,Q3,13171281.63,9220426.12,3950855.51,9345988.34,3825293.29,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2021Q4,2021,Q4,13448413.69,9618135.52,3830278.16,9728203.92,3720209.77,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2022Q1,2022,Q1,13728321.47,9950740.3,3777581.17,9967743.34,3760578.13,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2022Q2,2022,Q2,13903313.5,10111789.28,3791524.22,9992874.75,3910438.75,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2022Q3,2022,Q3,13888941.98,10116335.02,3772606.96,9903484.9,3985457.09,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2022Q4,2022,Q4,14444467.91,10513531.15,3930936.76,10255285.26,4189182.65,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2023Q1,2023,Q1,15296507.53,11455687.76,3840819.77,11150269.83,4146237.7,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2023Q2,2023,Q2,15120540.51,11334575.86,3785964.66,11024552.51,4095988.0,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2023Q3,2023,Q3,15281650.73,11473586.95,3808063.78,11158514.73,4123136.01,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2023Q4,2023,Q4,15852716.95,11850078.31,4002638.64,11560477.59,4292239.36,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2024Q1,2024,Q1,15990275.62,11993673.71,3996601.92,11664024.78,4326250.84,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2024Q2,2024,Q2,16529010.72,12283229.36,4245781.36,12003779.81,4525230.91,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2024Q3,2024,Q3,16580690.07,12362234.95,4218455.12,12256831.96,4323858.12,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2024Q4,2024,Q4,17202670.32,12715563.85,4487106.47,12466105.37,4736564.96,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2025Q1,2025,Q1,17641414.62,12987671.61,4653743.01,12763266.4,4878148.22,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2025Q2,2025,Q2,17725940.39,13162679.2,4563261.19,12977608.5,4748331.89,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2025Q3,2025,Q3,18071384.36,13494250.78,4577133.58,13331910.51,4739473.85,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
2025Q4,2025,Q4,18664927.35,13972612.01,4692315.34,13783073.88,4881853.48,miliar IDR / billions of IDR,https://www.bi.go.id/id/statistik/ekonomi-keuangan/suspi/default.aspx
