periode,nilai_pmi,sumber_url,tanggal_scrape
Jun 2023,52.57,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jul 2023,53.36,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Aug 2023,53.98,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Sep 2023,52.35,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Oct 2023,51.56,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Nov 2023,51.77,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Dec 2023,52.26,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jan 2024,52.97,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Feb 2024,52.78,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Mar 2024,54.28,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Apr 2024,52.97,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
May 2024,52.17,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jun 2024,50.76,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jul 2024,49.36,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Aug 2024,48.96,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Sep 2024,49.27,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Oct 2024,49.27,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Nov 2024,49.66,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Dec 2024,51.25,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jan 2025,51.96,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Feb 2025,53.67,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Mar 2025,52.48,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Apr 2025,46.76,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
May 2025,47.46,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jun 2025,46.94,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jul 2025,49.27,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Aug 2025,51.56,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Sep 2025,50.46,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Oct 2025,51.25,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Nov 2025,53.36,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Dec 2025,51.25,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jan 2026,52.66,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Feb 2026,53.88,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Mar 2026,50.15,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Apr 2026,49.17,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
May 2026,50.06,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
Jun 2026,46.94,https://tradingeconomics.com/indonesia/manufacturing-pmi,2026-07-06
